Gene Symbol,DESeq2 (BH adjusted p-value ),edgeR (BH adjusted p-value ),ALDEx2 (effect size),Direction of expression,Uniprot ID
ADH5,1.30E-04,5.90E-03,,Down,P11766
C3,8.20E-04,5.20E-03,,Down,P01024
CARKD,1.90E-03,,1.593,Up,Q8IW45
CYBB,5.00E-05,,-1.418,Down,P04839
EZR,1.20E-05,,1.707,Up,P15311
GDPD4,7.40E-05,7.10E-03,,Down,Q6W3E5
HEXB,9.70E-09,8.30E-03,1.582,Up,P07686
IDH1,5.00E-10,3.10E-06,-1.512,Down,O75874
ILVBL,1.80E-06,,1.923,Up,A1L0T0
KCNF1,1.90E-12,1.70E-03,,Up,Q9H3M0
KRT19,8.10E-09,,1.547,Up,P08727
MYH10,6.40E-05,6.60E-03,,Down,P35580
PGD,1.15E-03,,-1.249,Down,P52209
PNCK,4.00E-19,2.20E-03,1.498,Up,Q6P2M8
PRDX6,2.00E-04,6.60E-03,,Up,P30041
TFCP2L1,1.30E-04,6.50E-03,-1.506,Down,Q9NZI6
TPI1,5.80E-05,9.50E-03,,Up,P60174
ABCA7,1.70E-08,5.60E-04,,Up,Q8IZY2
AC110619.2,8.30E-04,,1.562,Up,
ACKR2,1.10E-05,4.60E-03,,Up,O00590
ADAM12,9.70E-06,,1.49,Up,O43184
ADAMTS7,4.70E-07,6.50E-03,,Down,Q9UKP4
ALPK3,1.80E-07,5.60E-04,1.565,Up,Q96L96
AMACR,7.20E-04,7.10E-03,,Down,Q9UHK6
ANKRD24,1.30E-05,,1.461,Up,Q8TF21
ANO1,1.40E-04,,1.437,Up,Q5XXA6
ANPEP,4.30E-06,5.70E-03,,Down,P15144
AP000350.10,6.20E-06,8.30E-03,1.569,Up,
ARHGAP18,2.40E-04,9.50E-03,,Down,Q8N392
ARHGEF4,3.00E-15,6.30E-05,2.16,Up,Q9NR80
ARMS2,1.50E-21,2.10E-04,2.126,Up,P0C7Q2
ASTE1,1.90E-06,3.00E-03,1.69,Up,Q2TB18
B4GALNT2,3.20E-14,7.40E-03,,Up,Q8NHY0
BCAR3,3.50E-06,6.60E-03,,Up,O75815
BCL6,5.00E-14,5.50E-05,2.248,Up,P41182
BCORL1,4.00E-05,,1.345,Up,Q5H9F3
BHLHE41,1.50E-08,9.70E-05,,Down,Q9C0J9
BLVRA,1.40E-04,6.20E-03,,Down,P53004
BMX,3.50E-08,5.20E-03,-1.595,Down,P51813
BTNL9,2.60E-17,1.50E-03,2.085,Up,Q6UXG8
C10orf90,1.50E-08,4.90E-03,1.609,Up,Q96M02
C12orf75,1.30E-18,7.50E-08,2.445,Up,Q8TAD7
C3orf35,1.60E-04,3.10E-03,,Up,Q8IVJ8
CA4,5.60E-11,,1.738,Up,P22748
CALM1,3.80E-08,3.30E-03,,Up,P0DP23
CASP1,6.54E-03,,-1.449,Down,P29466
CBX4,2.30E-04,7.30E-03,,Down,O00257
CCDC113,1.10E-07,5.30E-03,1.651,Up,Q9H0I3
CCDC183,4.70E-16,1.00E-06,2.211,Up,Q5T5S1
CCR1,3.90E-04,6.20E-03,,Down,P32246
CD180,2.50E-07,5.30E-03,,Down,Q99467
CD200R1,9.95E-05,,-1.536,Down,Q8TD46
CD5L,6.40E-13,1.70E-03,,Down,O43866
CD63,7.20E-03,,1.603,Up,P08962
CEBPB,1.50E-03,,1.464,Up,P17676
CELF4,2.40E-06,2.00E-03,,Down,Q9BZC1
CELSR1,1.50E-08,1.70E-03,,Up,Q9NYQ6
CFI,1.10E-05,4.60E-03,,Down,P05156
CLDN6,9.00E-09,6.50E-03,,Up,P56747
