category,Gene name,ID,term,count,genes,logFC,adj_pval
BP,GLRX,GO:0044281,small molecule metabolic process,8,P35754,Up,9.42E-07
BP,C3,GO:0032787,monocarboxylic acid metabolic process,6,P01024,Down,2.84E-07
BP,C3,GO:0019752,carboxylic acid metabolic process,6,P01024,Down,5.04E-06
BP,C3,GO:0043436,oxoacid metabolic process,6,P01024,Down,5.96E-06
BP,C3,GO:0006082,organic acid metabolic process,6,P01024,Down,6.92E-06
BP,C3,GO:0044281,small molecule metabolic process,8,P01024,Down,9.42E-07
BP,PGD,GO:0016052,carbohydrate catabolic process,5,P52209,Down,4.70E-09
BP,PGD,GO:0005996,monosaccharide metabolic process,4,P52209,Down,2.95E-06
BP,PGD,GO:0044262,cellular carbohydrate metabolic process,4,P52209,Down,3.09E-06
BP,PGD,GO:0005975,carbohydrate metabolic process,6,P52209,Down,2.17E-07
BP,PGD,GO:0032787,monocarboxylic acid metabolic process,6,P52209,Down,2.84E-07
BP,PGD,GO:0019752,carboxylic acid metabolic process,6,P52209,Down,5.04E-06
BP,PGD,GO:0043436,oxoacid metabolic process,6,P52209,Down,5.96E-06
BP,PGD,GO:0006082,organic acid metabolic process,6,P52209,Down,6.92E-06
BP,PGD,GO:0044281,small molecule metabolic process,8,P52209,Down,9.42E-07
BP,PGD,GO:1901575,organic substance catabolic process,7,P52209,Down,1.85E-05
BP,GLB1,GO:0016052,carbohydrate catabolic process,5,P16278,Down,4.70E-09
BP,GLB1,GO:0005996,monosaccharide metabolic process,4,P16278,Down,2.95E-06
BP,GLB1,GO:0044262,cellular carbohydrate metabolic process,4,P16278,Down,3.09E-06
BP,GLB1,GO:0005975,carbohydrate metabolic process,6,P16278,Down,2.17E-07
BP,GLB1,GO:0044281,small molecule metabolic process,8,P16278,Down,9.42E-07
BP,GLB1,GO:1901575,organic substance catabolic process,7,P16278,Down,1.85E-05
BP,GAPDH,GO:0016052,carbohydrate catabolic process,5,P04406,Up,4.70E-09
BP,GAPDH,GO:0005996,monosaccharide metabolic process,4,P04406,Up,2.95E-06
BP,GAPDH,GO:0005975,carbohydrate metabolic process,6,P04406,Up,2.17E-07
BP,GAPDH,GO:0032787,monocarboxylic acid metabolic process,6,P04406,Up,2.84E-07
BP,GAPDH,GO:0019752,carboxylic acid metabolic process,6,P04406,Up,5.04E-06
BP,GAPDH,GO:0043436,oxoacid metabolic process,6,P04406,Up,5.96E-06
BP,GAPDH,GO:0006082,organic acid metabolic process,6,P04406,Up,6.92E-06
BP,GAPDH,GO:0044281,small molecule metabolic process,8,P04406,Up,9.42E-07
BP,GAPDH,GO:1901575,organic substance catabolic process,7,P04406,Up,1.85E-05
BP,HEXB,GO:0016052,carbohydrate catabolic process,5,P07686,Up,4.70E-09
BP,HEXB,GO:0005975,carbohydrate metabolic process,6,P07686,Up,2.17E-07
BP,HEXB,GO:1901575,organic substance catabolic process,7,P07686,Up,1.85E-05
BP,TPI1,GO:0016052,carbohydrate catabolic process,5,P60174,Up,4.70E-09
BP,TPI1,GO:0005996,monosaccharide metabolic process,4,P60174,Up,2.95E-06
BP,TPI1,GO:0044262,cellular carbohydrate metabolic process,4,P60174,Up,3.09E-06
BP,TPI1,GO:0005975,carbohydrate metabolic process,6,P60174,Up,2.17E-07
BP,TPI1,GO:0032787,monocarboxylic acid metabolic process,6,P60174,Up,2.84E-07
BP,TPI1,GO:0019752,carboxylic acid metabolic process,6,P60174,Up,5.04E-06
