Gene Symbol,DESeq2 (BH adjusted p-value ),edgeR (BH adjusted p-value ),ALDEx2 (effect size),Direction of expression,Uniprot ID
SLC27A2,1.90E-06,1.10E-03,-1.368,Down,O14975
KRT19,8.10E-09,,1.547,Up,P08727
IDH1,5.00E-10,3.10E-06,-1.512,Down,O75874
VSIG4,4.80E-08,1.10E-03,,Down,Q9Y279
PC,2.40E-06,3.40E-03,-1.613,Down,P11498
GFOD2,3.40E-05,,1.745,Up,Q3B7J2
PAPPA2,2.70E-20,5.20E-03,1.844,Up,Q9BXP8
GAPDH,2.00E-06,5.30E-03,,Up,P04406
PRDX6,2.00E-04,6.60E-03,,Up,P30041
TPI1,5.80E-05,9.50E-03,,Up,P60174
PGD,1.15E-03,,-1.249,Down,P52209
PDK2,2.50E-05,4.90E-03,,Down,Q15119
CARKD,1.90E-03,,1.593,Up,Q8IW45
CYBB,5.00E-05,,-1.418,Down,P04839
GLRX,1.50E-04,,1.441,Up,P35754
