,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Uniprot_ID
ENSG00000171219,15.2672306268614,-3.28629843422245,1.01973111442567,-3.22271075946659,0.00126983708540159,0.0296227049115996,Q6DT37
ENSG00000174448,0.437043442094459,-13.9738450618486,3.367190247483,-4.15000164374263,3.32472887034437e-05,0.00189566341240791,P59095
ENSG00000087076,7.71697057277278,-4.99042762365427,1.28347538980644,-3.88821450203801,0.000100984363077263,0.00459298900830443,Q9BPX1
ENSG00000184530,0.619982494505537,-11.3041134494622,3.36751052847434,-3.35681606750123,0.000788455453983814,0.0202552292175001,Q6P5S2
ENSG00000164904,6.30144893176073,-3.56848155838837,0.98097574531401,-3.63768581989364,0.000275098709869771,0.00871916217768397,P49419
ENSG00000140374,258.327425598814,1.6790224045828,0.543910344320374,3.08694699800345,0.00202223650269851,0.0425619837354825,P13804
ENSG00000197122,82.687074458178,1.65324454978217,0.507080191783234,3.26032169382963,0.00111285914471131,0.0266484317268342,P12931
ENSG00000226979,1.01167212944758,30,3.30792626176851,9.06912597984007,1.19975507195767e-19,3.15282538099547e-16,P01374
ENSG00000140279,6.53337766496547,-4.26675041091351,1.30899536956594,-3.25956111848459,0.00111584735628763,0.0266758219224905,Q9NRD8
ENSG00000108381,2.89430450502753,-5.46677210694073,1.75252075265401,-3.11937653158279,0.00181234198811235,0.0390648379851938,P45381
ENSG00000079112,1.28447307954761,-11.4592138890533,3.08051235497125,-3.71990518738245,0.000199297579813888,0.00664682704698279,Q12864
ENSG00000101856,645.503836342534,2.92282364198671,0.763437238106666,3.82850546986069,0.000128923766277279,0.00559231297015149,O00264
ENSG00000135070,157.779179161608,1.35701645539228,0.435938867207263,3.11285952566165,0.00185284185194412,0.0397994098791363,Q9BUE6
ENSG00000138798,167.17345239418,2.91835284623184,0.712430408540158,4.0963339173181,4.19744370444947e-05,0.00238074617432761,P01133
ENSG00000005249,1446.16453136035,2.5832182087374,0.676523170146713,3.81837359417741,0.000134334386398329,0.00559231297015149,P31323
ENSG00000144746,390.443823910254,2.01243327261211,0.604947901104015,3.32662245614783,0.000879053860598424,0.022149911156426,O75915
ENSG00000082175,7.3934324954159,-4.59872724403339,1.21496908904439,-3.78505699075063,0.000153673357839601,0.00559231297015149,P06401
ENSG00000197959,377.684441381403,2.35326718717043,0.637224720118058,3.69299418693996,0.000221629091145397,0.00729597860894301,Q9UQ16
ENSG00000198900,181.429014289072,1.01679740351605,0.278824670584118,3.64672681719996,0.000265602034684769,0.00846143339572111,P11387
ENSG00000120885,964.354593888181,2.4213995546277,0.637259706744471,3.79970603664518,0.000144867827146993,0.00559231297015149,P10909
ENSG00000078668,217.970245319451,1.79525683206796,0.500305238697764,3.58832307401138,0.0003328117251021,0.0102343733183417,Q9Y277
ENSG00000176697,6.41608115373122,-3.74455947371249,1.1950069169091,-3.1335044347675,0.00172732308315602,0.0381223543123803,P23560
ENSG00000066926,295.263726872282,1.45745230516838,0.436959794884531,3.33543800191851,0.000851651418111662,0.0216437299447212,
ENSG00000168306,7.28838897573756,-5.71949444315396,1.71178377769185,-3.34124818665244,0.000834026331652989,0.0212622811577105,Q99424
ENSG00000171552,538.809624848289,1.73546250234835,0.412999806221007,4.20209035502468,2.64461529137321e-05,0.00165345615983694,Q07817
ENSG00000132915,22.7778990335599,-4.16648944466271,1.1249312773026,-3.70377242479494,0.000212416834497928,0.00703033291294058,P16499
ENSG00000128655,5.75314877514578,-5.08576972917477,1.46425069105649,-3.47329167077616,0.000514116316609179,0.0144478672135183,Q9HCR9
ENSG00000138735,507.31863802555,2.36298326136051,0.645614639967362,3.66005216591738,0.000252163906857596,0.00815304911963569,O76074
ENSG00000095464,0.53238516652119,-14.9696056506615,3.3653306665518,-4.44818269997811,8.65998568750887e-06,0.000899007197510646,P51160
ENSG00000185532,39.9300597354567,2.99237677973568,0.836307684401087,3.5780811722167,0.000346125966824896,0.0105614667373645,Q13976
ENSG00000093144,53.0968497031273,-1.35390797053558,0.386203591670162,-3.50568456569894,0.000455434615566017,0.0132359731878161,Q9NTX5
ENSG00000196344,1.37233287658089,-12.0833620084415,3.3527977222601,-3.60396391593113,0.00031340058572784,0.00972707540395635,P40394
ENSG00000154917,53.4459208489033,2.10511394181201,0.687009528581374,3.06416993394389,0.00218274885451201,0.0449926236566633,Q9NRW1
ENSG00000025039,63.5456499965461,-1.44325979061518,0.435869069679885,-3.31122323425048,0.00092889074877681,0.023243696418354,Q9NQL2
ENSG00000110218,43.1361794399052,1.98144171002701,0.637295786686725,3.10913982395591,0.00187632898917813,0.0402441496986845,Q96RD7
ENSG00000111319,8.94893782295952,-4.49471898598359,1.44068986589392,-3.11983799732964,0.00180950528695579,0.0390424835410302,P37088
ENSG00000064601,366.299054336458,2.24504405402932,0.621237023253967,3.61382849056556,0.000301708679870253,0.0093776071773426,
