Gene stable ID	Protein stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENSG00000002586	ENSP00000479999	CD99	P14209
ENSG00000002586	ENSP00000370582	CD99	P14209
ENSG00000002586	ENSP00000370579	CD99	
ENSG00000002586	ENSP00000370588	CD99	P14209
ENSG00000002586	ENSP00000494027	CD99	P14209
ENSG00000002586	ENSP00000485427	CD99	
ENSG00000002586	ENSP00000370573	CD99	
ENSG00000002586	ENSP00000485545	CD99	P14209
ENSG00000002586	ENSP00000370570	CD99	
ENSG00000003056	ENSP00000000412	M6PR	P20645
ENSG00000003056	ENSP00000439070	M6PR	
ENSG00000003056	ENSP00000442100	M6PR	
ENSG00000003056	ENSP00000440488	M6PR	
ENSG00000003056	ENSP00000441040	M6PR	
ENSG00000003056	ENSP00000437595	M6PR	
ENSG00000003056	ENSP00000444684	M6PR	
ENSG00000003056	ENSP00000442983	M6PR	
ENSG00000003056	ENSP00000439968	M6PR	
ENSG00000003056	ENSP00000440962	M6PR	
ENSG00000003056	ENSP00000441030	M6PR	
ENSG00000003436	ENSP00000376172	TFPI	P10646
ENSG00000003436	ENSP00000233156	TFPI	P10646
ENSG00000003436	ENSP00000409177	TFPI	
ENSG00000003436	ENSP00000386344	TFPI	P10646
ENSG00000003436	ENSP00000342306	TFPI	P10646
ENSG00000003436	ENSP00000388159	TFPI	
ENSG00000003436	ENSP00000408170	TFPI	
ENSG00000003436	ENSP00000394185	TFPI	
ENSG00000003436	ENSP00000400179	TFPI	
ENSG00000003436	ENSP00000402954	TFPI	
ENSG00000004848	ENSP00000368332	ARX	Q96QS3
ENSG00000004848	ENSP00000490122	ARX	
ENSG00000005249	ENSP00000265717	PRKAR2B	P31323
ENSG00000005961	ENSP00000498119	ITGA2B	
ENSG00000005961	ENSP00000467269	ITGA2B	
ENSG00000005961	ENSP00000262407	ITGA2B	P08514
ENSG00000006059	ENSP00000007735	KRT33A	O76009
ENSG00000006071	ENSP00000494321	ABCC8	
ENSG00000006071	ENSP00000496124	ABCC8	
ENSG00000006071	ENSP00000435378	ABCC8	
ENSG00000006071	ENSP00000433638	ABCC8	
ENSG00000006071	ENSP00000303960	ABCC8	Q09428
ENSG00000006071	ENSP00000374467	ABCC8	Q09428
ENSG00000006071	ENSP00000494407	ABCC8	
ENSG00000006071	ENSP00000493720	ABCC8	
ENSG00000006071	ENSP00000506935	ABCC8	
ENSG00000006071	ENSP00000507705	ABCC8	
ENSG00000006071	ENSP00000493558	ABCC8	
ENSG00000006071	ENSP00000507829	ABCC8	
ENSG00000006071	ENSP00000507094	ABCC8	
ENSG00000006071	ENSP00000506841	ABCC8	
ENSG00000006071	ENSP00000508229	ABCC8	
ENSG00000006071	ENSP00000507506	ABCC8	
ENSG00000006071	ENSP00000507005	ABCC8	
ENSG00000006071	ENSP00000507143	ABCC8	
ENSG00000006071	ENSP00000508318	ABCC8	
ENSG00000006071	ENSP00000507768	ABCC8	
ENSG00000006071	ENSP00000496714	ABCC8	
ENSG00000006071	ENSP00000494101	ABCC8	
ENSG00000006071	ENSP00000493749	ABCC8	
ENSG00000006071	ENSP00000493677	ABCC8	
ENSG00000006071	ENSP00000494450	ABCC8	
ENSG00000006071	ENSP00000507496	ABCC8	
ENSG00000006071	ENSP00000495259	ABCC8	
ENSG00000006071	ENSP00000495389	ABCC8	
ENSG00000006071	ENSP00000508265	ABCC8	
ENSG00000006071	ENSP00000495085	ABCC8	
ENSG00000006071	ENSP00000494567	ABCC8	
ENSG00000006071	ENSP00000493601	ABCC8	
ENSG00000006071	ENSP00000496309	ABCC8	
ENSG00000006071	ENSP00000495025	ABCC8	
ENSG00000006071	ENSP00000495697	ABCC8	
ENSG00000006071	ENSP00000495516	ABCC8	
ENSG00000006071	ENSP00000494791	ABCC8	
ENSG00000006071	ENSP00000437233	ABCC8	
ENSG00000006071	ENSP00000495744	ABCC8	
ENSG00000006071	ENSP00000495891	ABCC8	
ENSG00000006071	ENSP00000496070	ABCC8	
ENSG00000006071	ENSP00000494564	ABCC8	
ENSG00000006071	ENSP00000496741	ABCC8	
ENSG00000006071	ENSP00000431653	ABCC8	
ENSG00000006071	ENSP00000434893	ABCC8	
ENSG00000006071	ENSP00000496282	ABCC8	
ENSG00000006071	ENSP00000495532	ABCC8	Q09428
ENSG00000006071	ENSP00000495378	ABCC8	
ENSG00000006071	ENSP00000495427	ABCC8	
ENSG00000006071	ENSP00000494519	ABCC8	
ENSG00000006071	ENSP00000494874	ABCC8	
ENSG00000006652	ENSP00000502336	IFRD1	
ENSG00000006652	ENSP00000391379	IFRD1	
