Gene stable ID	Protein stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENSG00000006059	ENSP00000007735	KRT33A	O76009
ENSG00000008735	ENSP00000330572	MAPK8IP2	Q13387
ENSG00000015568	ENSP00000376962	RGPD5	Q99666
ENSG00000015568	ENSP00000272454	RGPD5	Q99666
ENSG00000015568	ENSP00000392556	RGPD5	
ENSG00000015568	ENSP00000016946	RGPD5	Q99666
ENSG00000015568	ENSP00000411548	RGPD5	
ENSG00000015568	ENSP00000400797	RGPD5	
ENSG00000015568	ENSP00000409406	RGPD5	
ENSG00000021488	ENSP00000464822	SLC7A9	P82251
ENSG00000021488	ENSP00000468076	SLC7A9	
ENSG00000021488	ENSP00000023064	SLC7A9	P82251
ENSG00000021488	ENSP00000465563	SLC7A9	
ENSG00000021488	ENSP00000468439	SLC7A9	P82251
ENSG00000024422	ENSP00000439036	EHD2	Q9NZN4
ENSG00000024422	ENSP00000263277	EHD2	Q9NZN4
ENSG00000024422	ENSP00000471766	EHD2	
ENSG00000025770	ENSP00000410088	NCAPH2	Q6IBW4
ENSG00000025770	ENSP00000379050	NCAPH2	Q6IBW4
ENSG00000025770	ENSP00000379053	NCAPH2	
ENSG00000025770	ENSP00000429060	NCAPH2	
ENSG00000025770	ENSP00000429025	NCAPH2	
ENSG00000025770	ENSP00000410480	NCAPH2	
ENSG00000025770	ENSP00000299821	NCAPH2	Q6IBW4
ENSG00000025770	ENSP00000430944	NCAPH2	
ENSG00000038295	ENSP00000061240	TLL1	O43897
ENSG00000038295	ENSP00000422692	TLL1	
ENSG00000038295	ENSP00000426082	TLL1	
ENSG00000038295	ENSP00000421732	TLL1	
ENSG00000038295	ENSP00000422937	TLL1	O43897
ENSG00000038295	ENSP00000423748	TLL1	
ENSG00000053438	ENSP00000335497	NNAT	Q16517
ENSG00000053438	ENSP00000496909	NNAT	
ENSG00000053438	ENSP00000497164	NNAT	Q16517
ENSG00000053438	ENSP00000497147	NNAT	
ENSG00000053438	ENSP00000497857	NNAT	
ENSG00000057757	ENSP00000246151	PITHD1	Q9GZP4
ENSG00000057757	ENSP00000405957	PITHD1	
ENSG00000057757	ENSP00000363648	PITHD1	
ENSG00000058804	ENSP00000360483	NDC1	Q9BTX1
ENSG00000063515	ENSP00000086933	GSC2	O15499
ENSG00000065491	ENSP00000362590	TBC1D22B	Q9NU19
ENSG00000066405	ENSP00000340939	CLDN18	P56856
ENSG00000066405	ENSP00000183605	CLDN18	P56856
ENSG00000066405	ENSP00000419732	CLDN18	
ENSG00000066813	ENSP00000327453	ACSM2B	Q68CK6
ENSG00000066813	ENSP00000390378	ACSM2B	Q68CK6
ENSG00000066813	ENSP00000457377	ACSM2B	
ENSG00000066813	ENSP00000454995	ACSM2B	Q68CK6
ENSG00000066813	ENSP00000456378	ACSM2B	Q68CK6
ENSG00000066813	ENSP00000455137	ACSM2B	
ENSG00000066813	ENSP00000478316	ACSM2B	
ENSG00000066813	ENSP00000454887	ACSM2B	
ENSG00000066813	ENSP00000456369	ACSM2B	
ENSG00000066813	ENSP00000455190	ACSM2B	
ENSG00000066813	ENSP00000454247	ACSM2B	
ENSG00000066813	ENSP00000455658	ACSM2B	
ENSG00000068781	ENSP00000385499	STON1-GTF2A1L	
ENSG00000068781	ENSP00000385701	STON1-GTF2A1L	
ENSG00000068781	ENSP00000378236	STON1-GTF2A1L	
