Gene stable ID	Protein stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENSG00000105135	ENSP00000263383	ILVBL	A1L0T0
ENSG00000277322	ENSP00000480376	GOLGA6L6	A8MZA4
ENSG00000141582	ENSP00000269397	CBX4	O00257
ENSG00000144648	ENSP00000416996	ACKR2	O00590
ENSG00000144648	ENSP00000396150	ACKR2	O00590
ENSG00000107404	ENSP00000368169	DVL1	O14640
ENSG00000107404	ENSP00000368166	DVL1	O14640
ENSG00000175274	ENSP00000379009	TP53I11	O14683
ENSG00000175274	ENSP00000436152	TP53I11	O14683
ENSG00000175274	ENSP00000433474	TP53I11	O14683
ENSG00000175274	ENSP00000481456	TP53I11	O14683
ENSG00000175274	ENSP00000309532	TP53I11	O14683
ENSG00000140284	ENSP00000267842	SLC27A2	O14975
ENSG00000140284	ENSP00000370289	SLC27A2	O14975
ENSG00000185666	ENSP00000351614	SYN3	O14994
ENSG00000069020	ENSP00000385727	MAST4	O15021
ENSG00000069020	ENSP00000385088	MAST4	O15021
ENSG00000069020	ENSP00000384313	MAST4	O15021
ENSG00000069020	ENSP00000384099	MAST4	O15021
ENSG00000069020	ENSP00000261569	MAST4	O15021
ENSG00000141526	ENSP00000376152	SLC16A3	O15427
ENSG00000141526	ENSP00000462405	SLC16A3	O15427
ENSG00000141526	ENSP00000376150	SLC16A3	O15427
ENSG00000141526	ENSP00000463978	SLC16A3	O15427
ENSG00000141526	ENSP00000483212	SLC16A3	O15427
ENSG00000141526	ENSP00000482013	SLC16A3	O15427
ENSG00000187605	ENSP00000386869	TET3	O43151
ENSG00000197555	ENSP00000370630	SIPA1L1	O43166
ENSG00000197555	ENSP00000450832	SIPA1L1	O43166
ENSG00000197555	ENSP00000351352	SIPA1L1	O43166
ENSG00000095596	ENSP00000360586	CYP26A1	O43174
ENSG00000095596	ENSP00000224356	CYP26A1	O43174
ENSG00000148848	ENSP00000357668	ADAM12	O43184
ENSG00000148848	ENSP00000357665	ADAM12	O43184
ENSG00000105492	ENSP00000401502	SIGLEC6	O43699
ENSG00000105492	ENSP00000344064	SIGLEC6	O43699
ENSG00000105492	ENSP00000353071	SIGLEC6	O43699
ENSG00000105492	ENSP00000410679	SIGLEC6	O43699
ENSG00000105492	ENSP00000345907	SIGLEC6	O43699
ENSG00000105492	ENSP00000375674	SIGLEC6	O43699
ENSG00000164176	ENSP00000296591	EDIL3	O43854
ENSG00000164176	ENSP00000369483	EDIL3	O43854
ENSG00000073754	ENSP00000357156	CD5L	O43866
ENSG00000137860	ENSP00000315006	SLC28A2	O43868
ENSG00000118898	ENSP00000340510	PPL	O60437
ENSG00000162512	ENSP00000344468	SDC3	O75056
ENSG00000136068	ENSP00000420213	FLNB	O75369
ENSG00000136068	ENSP00000351339	FLNB	O75369
ENSG00000136068	ENSP00000415599	FLNB	O75369
ENSG00000136068	ENSP00000295956	FLNB	O75369
ENSG00000137936	ENSP00000359267	BCAR3	O75815
ENSG00000137936	ENSP00000260502	BCAR3	O75815
ENSG00000137936	ENSP00000359264	BCAR3	O75815
ENSG00000137936	ENSP00000359263	BCAR3	O75815
ENSG00000137936	ENSP00000441343	BCAR3	O75815
ENSG00000138413	ENSP00000260985	IDH1	O75874
ENSG00000138413	ENSP00000410513	IDH1	O75874
ENSG00000138413	ENSP00000390265	IDH1	O75874
ENSG00000122122	ENSP00000349359	SASH3	O75995
ENSG00000107954	ENSP00000358795	NEURL1	O76050
ENSG00000142185	ENSP00000300482	TRPM2	O94759
ENSG00000142185	ENSP00000381023	TRPM2	O94759
ENSG00000142185	ENSP00000300481	TRPM2	O94759
ENSG00000111961	ENSP00000356437	SASH1	O94885
ENSG00000213937	ENSP00000398017	CLDN9	O95484
ENSG00000070404	ENSP00000166139	FSTL3	O95633
ENSG00000128731	ENSP00000261609	HERC2	O95714
ENSG00000172939	ENSP00000311713	OXSR1	O95747
ENSG00000169583	ENSP00000419378	CLIC3	O95833
ENSG00000124216	ENSP00000244050	SNAI1	O95863
ENSG00000164172	ENSP00000355160	MOCS2	O96033
ENSG00000164172	ENSP00000411022	MOCS2	O96033
ENSG00000164172	ENSP00000424267	MOCS2	O96033
ENSG00000164172	ENSP00000426274	MOCS2	O96033
ENSG00000164172	ENSP00000462870	MOCS2	O96033
ENSG00000164172	ENSP00000464663	MOCS2	O96033
ENSG00000124491	ENSP00000264870	F13A1	P00488
ENSG00000196136	ENSP00000376795	SERPINA3	P01011
ENSG00000196136	ENSP00000376793	SERPINA3	P01011
ENSG00000196136	ENSP00000450540	SERPINA3	P01011
ENSG00000196136	ENSP00000452476	SERPINA3	P01011
ENSG00000125730	ENSP00000245907	C3	P01024
ENSG00000104899	ENSP00000221496	AMH	P03971
ENSG00000177628	ENSP00000357357	GBA	P04062
ENSG00000177628	ENSP00000314508	GBA	P04062
ENSG00000177628	ENSP00000402577	GBA	P04062
ENSG00000177628	ENSP00000397986	GBA	P04062
ENSG00000111640	ENSP00000229239	GAPDH	P04406
ENSG00000111640	ENSP00000380070	GAPDH	P04406
ENSG00000111640	ENSP00000380068	GAPDH	P04406
ENSG00000111640	ENSP00000380067	GAPDH	P04406
ENSG00000111640	ENSP00000478864	GAPDH	P04406
ENSG00000165168	ENSP00000367851	CYBB	P04839
ENSG00000123999	ENSP00000243786	INHA	P05111
ENSG00000205403	ENSP00000378130	CFI	P05156
ENSG00000197956	ENSP00000357708	S100A6	P06703
ENSG00000197956	ENSP00000473589	S100A6	P06703
ENSG00000197956	ENSP00000357709	S100A6	P06703
ENSG00000147571	ENSP00000276571	CRH	P06850
ENSG00000049860	ENSP00000261416	HEXB	P07686
ENSG00000091136	ENSP00000222399	LAMB1	P07942
ENSG00000122641	ENSP00000242208	INHBA	P08476
ENSG00000122641	ENSP00000397197	INHBA	P08476
ENSG00000122641	ENSP00000490646	INHBA	P08476
ENSG00000101336	ENSP00000486627	HCK	P08631
ENSG00000101336	ENSP00000429848	HCK	P08631
ENSG00000101336	ENSP00000427757	HCK	P08631
ENSG00000161638	ENSP00000293379	ITGA5	P08648
ENSG00000171345	ENSP00000355124	KRT19	P08727
ENSG00000135404	ENSP00000257857	CD63	P08962
ENSG00000135404	ENSP00000393502	CD63	P08962
ENSG00000135404	ENSP00000447356	CD63	P08962
ENSG00000135404	ENSP00000449337	CD63	P08962
ENSG00000135404	ENSP00000447730	CD63	P08962
ENSG00000135404	ENSP00000446807	CD63	P08962
ENSG00000135404	ENSP00000448091	CD63	P08962
ENSG00000254636	ENSP00000436682	ARMS2	P0C7Q2
ENSG00000198668	ENSP00000349467	CALM1	P0DP23
ENSG00000169429	ENSP00000306512	CXCL8	P10145
ENSG00000173599	ENSP00000435905	PC	P11498
ENSG00000173599	ENSP00000377527	PC	P11498
ENSG00000173599	ENSP00000377530	PC	P11498
ENSG00000173599	ENSP00000498406	PC	P11498
ENSG00000173599	ENSP00000377532	PC	P11498
ENSG00000173599	ENSP00000498302	PC	P11498
ENSG00000173599	ENSP00000498994	PC	P11498
ENSG00000173599	ENSP00000434192	PC	P11498
ENSG00000197894	ENSP00000296412	ADH5	P11766
